List of supplying markets for a product imported by Israel Product: 4001 Natural rubber,balata,gutta-percha etc
"Exporters"	"2009-Imported quantity, Tons"	"2010-Imported quantity, Tons"	"2011-Imported quantity, Tons"	"2012-Imported quantity, Tons"	"2013-Imported quantity, "	
World	No Quantity	No Quantity	15,542	No Quantity	No Quantity	
Singapore	4,509	4,818	8,578	No Quantity	No Quantity	
Indonesia	2,948	2,318	3,766	No Quantity	No Quantity	
India	21	242	1,353	0	No Quantity	
Malaysia	265	345	394	No Quantity	No Quantity	
Viet Nam	147	148	389	127	No Quantity	
Thailand	686	857	380	No Quantity	No Quantity	
United Kingdom	102	142	336	No Quantity	No Quantity	
Côte d'Ivoire	0	0	144	0	0	
Germany	101	85	72	No Quantity	No Quantity	
Japan	127	4	62	No Quantity	No Quantity	
Turkey	0	0	58	0	0	
United States of America	3	No Quantity	9	No Quantity	No Quantity	
Taipei, Chinese	3	0	1	0	0	
Belgium	20	1	0	0	No Quantity	
Sri Lanka	No Quantity	1	0	0	No Quantity	
China	58	0	0	0	0	
France	0	248	0	No Quantity	0	
Hong Kong, China	14	0	0	0	0	
Italy	2	3	0	0	No Quantity	
Netherlands	43	63	0	No Quantity	No Quantity	
Nigeria	791	322	0	383	No Quantity	
Philippines	0	0	0	20	No Quantity	
Portugal	0	0	0	0	No Quantity	
Romania	0	1	0	0	0	
South Africa	0	0	0	0	No Quantity	
Spain	1	84	0	No Quantity	No Quantity	
