List of supplying markets for a product imported by Israel Product: 2402 Cigars, cheroots, cigarillos & cigarettes
"Exporters"	"2009-Imported quantity, Tons"	"2010-Imported quantity, Tons"	"2011-Imported quantity, Tons"	"2012-Imported quantity, "	"2013-Imported quantity, "	
World	9,112	9,736	12,142	No Quantity	No Quantity	
Switzerland	6,423	6,766	9,019	No Quantity	No Quantity	
Turkey	990	1,217	1,641	No Quantity	No Quantity	
Belgium	429	871	820	No Quantity	No Quantity	
Netherlands	70	86	255	No Quantity	No Quantity	
Romania	0	55	140	No Quantity	No Quantity	
Germany	30	69	126	No Quantity	No Quantity	
Poland	233	167	102	No Quantity	No Quantity	
Russian Federation	0	1	9	No Quantity	0	
Cyprus	21	12	7	No Quantity	No Quantity	
United States	538	375	7	No Quantity	No Quantity	
Dominican Republic	3	1	3	No Quantity	No Quantity	
Thailand	4	4	3	No Quantity	No Quantity	
Armenia	1	2	2	No Quantity	No Quantity	
Bulgaria	0	0	2	No Quantity	No Quantity	
Honduras	1	1	2	No Quantity	No Quantity	
Nicaragua	1	1	2	No Quantity	No Quantity	
Greece	26	8	1	No Quantity	0	
Spain	0	1	1	No Quantity	No Quantity	
Argentina	8	7	0	0	0	
Brazil	0	0	0	No Quantity	No Quantity	
Canada	9	7	0	No Quantity	No Quantity	
Sri Lanka	0	0	0	0	No Quantity	
Chile	0	0	0	0	No Quantity	
China	0	0	0	0	No Quantity	
Costa Rica	0	0	0	No Quantity	0	
Cuba	0	0	0	0	No Quantity	
Czech Republic	0	0	0	No Quantity	0	
Denmark	156	29	0	No Quantity	No Quantity	
Dominica	0	0	0	No Quantity	No Quantity	
France	7	3	0	No Quantity	0	
Georgia	0	0	0	No Quantity	0	
Hong Kong, China	0	0	0	No Quantity	No Quantity	
Indonesia	0	0	0	0	0	
Italy	0	0	0	No Quantity	No Quantity	
Japan	0	0	0	0	No Quantity	
Jordan	0	0	0	No Quantity	0	
Latvia	2	0	0	0	0	
Luxembourg	5	2	0	0	0	
Mexico	0	0	0	No Quantity	No Quantity	
Paraguay	0	0	0	0	0	
Philippines	0	0	0	No Quantity	No Quantity	
India	0	0	0	No Quantity	No Quantity	
Singapore	0	0	0	0	No Quantity	
Sweden	0	0	0	No Quantity	0	
Ukraine	0	0	0	0	0	
United Kingdom	154	53	0	No Quantity	No Quantity	
