List of importing markets for a product exported by Israel Product: 0901 Coffee
"Importers"	"2001-Exported quantity, Tons"	"2002-Exported quantity, Tons"	"2003-Exported quantity, Tons"	"2004-Exported quantity, "	"2005-Exported quantity, Tons"	"2006-Exported quantity, Tons"	"2007-Exported quantity, Tons"	"2008-Exported quantity, Tons"	"2009-Exported quantity, Tons"	"2010-Exported quantity, Tons"	"2011-Exported quantity, Tons"	"2012-Exported quantity, Tons"	"2013-Exported quantity, "	
World	1,242	560	228	0	369	457	100	197	466	No Quantity	No Quantity	No Quantity	No Quantity	
Ukraine	0	0	0	0	0	0	0	0	6	11	39	No Quantity	No Quantity	
Romania	265	216	98	0	120	58	60	8	194	3	28	No Quantity	No Quantity	
Jordan	0	0	0	0	0	0	0	2	1	3	16	0	0	
Cyprus	0	2	0	0	205	92	17	64	9	4	12	No Quantity	No Quantity	
Mexico	0	0	0	0	0	0	0	0	6	4	10	0	0	
Kazakhstan	21	0	21	0	0	0	0	0	2	2	8	No Quantity	No Quantity	
United Kingdom	1	1	2	0	1	2	3	3	8	4	7	No Quantity	No Quantity	
Belgium	28	0	1	0	0	175	0	1	1	2	4	No Quantity	No Quantity	
Slovenia	10	0	0	0	0	16	0	5	0	1	3	0	No Quantity	
Germany	0	0	0	0	0	83	0	9	6	77	2	No Quantity	No Quantity	
Latvia	0	5	0	0	0	0	0	0	0	0	2	0	0	
Cameroon	0	0	0	0	0	0	0	0	0	0	1	No Quantity	No Quantity	
Hong Kong, China	1	2	1	0	0	0	0	1	0	No Quantity	1	No Quantity	No Quantity	
Hungary	0	0	0	0	0	0	0	0	1	2	1	0	No Quantity	
Kenya	0	0	0	0	0	0	0	0	0	0	1	0	0	
South Africa	0	2	1	0	1	1	0	3	0	No Quantity	1	No Quantity	No Quantity	
Switzerland	0	0	0	0	0	0	0	0	0	0	1	No Quantity	No Quantity	
Thailand	1	3	0	0	0	0	1	3	2	No Quantity	1	No Quantity	No Quantity	
Angola	0	0	0	0	0	0	0	0	0	0	0	0	0	
Equatorial Guinea	0	0	0	0	0	0	0	0	0	1	No Quantity	0	0	
Uzbekistan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Area Nes	10	0	0	0	0	0	0	1	0	0	0	No Quantity	No Quantity	
Andorra	0	0	0	0	0	0	0	0	0	0	0	No Quantity	0	
Argentina	0	0	0	0	0	0	0	0	0	0	0	0	0	
Australia	0	0	1	0	0	1	0	0	1	1	No Quantity	No Quantity	0	
Austria	0	0	0	0	0	0	0	0	0	1	0	0	0	
Brazil	0	0	0	0	0	0	0	0	43	0	0	0	0	
Canada	23	0	8	0	1	0	1	8	32	No Quantity	No Quantity	No Quantity	No Quantity	
China	0	0	0	0	0	0	0	3	3	No Quantity	0	No Quantity	No Quantity	
Croatia	4	4	3	0	1	0	0	0	0	0	0	0	0	
Czech Republic	0	0	0	0	0	0	0	0	0	5	0	0	0	
Denmark	0	0	1	0	0	1	0	0	0	0	0	0	0	
Finland	346	250	0	0	0	0	0	0	0	0	0	0	0	
France	0	0	0	0	0	0	3	9	5	7	No Quantity	No Quantity	No Quantity	
Georgia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Greece	0	0	0	0	6	0	0	0	0	0	0	0	No Quantity	
Italy	10	0	0	0	0	0	0	0	1	0	0	0	No Quantity	
Japan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Netherlands	0	0	0	0	0	0	0	0	0	0	0	No Quantity	No Quantity	
New Zealand	0	0	0	0	0	0	0	0	0	0	No Quantity	0	0	
Nigeria	0	0	0	0	0	0	0	0	0	0	0	0	0	
Poland	0	17	82	0	6	5	4	2	0	0	0	No Quantity	No Quantity	
Russian Federation	0	32	0	0	1	0	0	0	21	0	0	No Quantity	No Quantity	
Serbia	0	0	0	0	0	0	0	0	2	0	0	0	0	
India	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Singapore	59	0	0	0	0	0	0	0	1	26	0	0	No Quantity	
Viet Nam	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Spain	0	0	2	0	0	0	0	0	0	0	0	0	0	
Turkey	8	0	3	0	1	1	2	0	2	3	0	0	No Quantity	
Uganda	0	0	0	0	0	0	0	0	0	0	0	0	0	
United States of America	456	26	5	0	20	20	7	74	116	No Quantity	No Quantity	No Quantity	No Quantity	
Serbia and Montenegro	0	0	0	0	7	0	0	0	0	0	0	0	0	
