List of importing markets for a product exported by Israel Product: 1202 Ground-nuts, not roasted
"Importers"	"2001-Exported quantity, Tons"	"2002-Exported quantity, Tons"	"2003-Exported quantity, Tons"	"2004-Exported quantity, Tons"	"2005-Exported quantity, Tons"	"2006-Exported quantity, Tons"	"2007-Exported quantity, Tons"	"2008-Exported quantity, Tons"	"2009-Exported quantity, Tons"	"2010-Exported quantity, Tons"	"2011-Exported quantity, Tons"	"2012-Exported quantity, Tons"	"2013-Exported quantity, "	
World	8,824	8,470	8,734	8,284	18,325	17,988	9,272	8,391	8,346	7,875	4,754	4,789	No Quantity	
Italy	5,426	5,079	5,241	4,973	12,989	10,531	5,932	5,726	4,882	5,032	2,441	2,623	No Quantity	
Germany	1,593	1,606	1,706	1,621	3,194	3,510	1,938	1,452	2,251	1,641	832	1,231	No Quantity	
Belgium	798	1,372	1,042	1,022	1,464	1,738	29	100	85	171	819	0	0	
Netherlands	372	106	154	291	526	521	337	284	457	203	259	173	No Quantity	
Slovenia	0	0	0	0	0	1,321	14	0	29	335	156	125	No Quantity	
Spain	0	41	10	14	61	0	67	14	20	14	128	0	0	
Greece	29	14	73	106	18	144	132	39	16	29	53	0	0	
Switzerland	264	56	233	156	0	0	601	688	595	429	42	611	No Quantity	
Ukraine	0	0	0	0	0	16	108	10	0	22	18	0	0	
United Kingdom	220	63	135	0	0	0	0	0	0	0	6	0	0	
Cameroon	0	0	0	0	0	0	0	38	0	0	0	0	0	
Cyprus	0	0	0	34	0	0	0	0	0	0	0	0	No Quantity	
Malta	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Norway	27	0	0	0	0	0	0	0	0	0	0	0	0	
Poland	0	0	0	0	0	82	0	0	0	0	0	0	No Quantity	
Portugal	82	98	85	69	74	125	79	26	13	0	0	27	No Quantity	
Romania	0	34	56	0	0	0	0	0	0	0	0	0	0	
Russian Federation	0	0	0	0	0	0	36	0	0	0	0	0	No Quantity	
Turkey	0	0	0	0	0	0	0	14	0	0	0	0	0	
Egypt	14	0	0	0	0	0	0	0	0	0	0	0	0	
United States of America	0	0	0	0	0	0	0	0	0	0	0	0	0	
