List of importing markets for a product exported by Israel Product: 0802 Nuts nes
"Importers"	"2001-Exported quantity, Tons"	"2002-Exported quantity, Tons"	"2003-Exported quantity, Tons"	"2004-Exported quantity, "	"2005-Exported quantity, Tons"	"2006-Exported quantity, Tons"	"2007-Exported quantity, Tons"	"2008-Exported quantity, Tons"	"2009-Exported quantity, Tons"	"2010-Exported quantity, Tons"	"2011-Exported quantity, Tons"	"2012-Exported quantity, Tons"	"2013-Exported quantity, "	
World	58	64	27	0	29	236	191	61	487	217	23	1,104	No Quantity	
Hong Kong, China	0	0	0	0	0	0	0	0	0	34	17	580	No Quantity	
Italy	0	0	11	0	29	37	121	10	2	39	4	44	No Quantity	
Belgium	0	0	16	0	0	0	0	0	0	0	1	0	0	
France	0	9	0	0	0	0	27	24	14	0	1	0	0	
Australia	26	0	0	0	0	0	0	0	0	0	0	0	0	
Austria	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cyprus	0	0	0	0	0	0	0	0	0	0	0	10	0	
Germany	0	21	0	0	0	0	0	0	19	0	0	0	0	
Greece	16	8	0	0	0	13	0	0	18	0	0	0	No Quantity	
Japan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jordan	0	0	0	0	0	0	0	0	0	14	0	0	0	
Netherlands	0	0	0	0	0	31	1	0	0	0	0	0	No Quantity	
Romania	15	0	0	0	0	0	0	0	0	0	0	0	0	
India	0	0	0	0	0	0	0	0	0	0	0	20	0	
Slovenia	0	0	0	0	0	0	0	0	19	0	0	0	0	
Spain	0	0	0	0	0	0	0	0	0	39	0	52	No Quantity	
Switzerland	0	0	0	0	0	0	0	0	2	2	0	1	No Quantity	
Turkey	0	0	0	0	0	156	5	0	389	59	0	378	No Quantity	
Ukraine	0	0	0	0	0	0	34	0	10	0	0	20	No Quantity	
Egypt	0	0	0	0	0	0	0	0	13	30	0	0	0	
United Kingdom	0	0	0	0	0	0	3	26	1	0	0	0	No Quantity	
United States of America	0	26	0	0	0	0	0	0	0	0	0	0	0	
