List of importing markets for a product exported by Israel Product: 1509 Olive oil and its fractions
"Importers"	"2001-Exported quantity, Tons"	"2002-Exported quantity, Tons"	"2003-Exported quantity, Tons"	"2004-Exported quantity, Tons"	"2005-Exported quantity, Tons"	"2006-Exported quantity, Tons"	"2007-Exported quantity, Tons"	"2008-Exported quantity, Tons"	"2009-Exported quantity, Tons"	"2010-Exported quantity, Tons"	"2011-Exported quantity, Tons"	"2012-Exported quantity, "	"2013-Exported quantity, "	
World	55	50	188	175	889	357	319	228	159	206	317	No Quantity	No Quantity	
United States of America	13	10	76	113	130	138	108	143	107	74	144	No Quantity	No Quantity	
Netherlands	0	0	0	2	0	2	2	0	0	18	36	No Quantity	No Quantity	
Japan	9	5	7	6	21	20	15	9	13	31	34	No Quantity	No Quantity	
Brazil	1	2	1	0	1	1	0	0	0	1	19	0	No Quantity	
China	0	0	0	0	19	44	41	0	1	16	19	No Quantity	No Quantity	
Belgium	4	0	0	0	28	5	17	1	9	0	15	No Quantity	No Quantity	
Germany	7	1	1	2	3	14	9	10	2	9	14	No Quantity	No Quantity	
United Kingdom	0	4	0	9	22	23	36	18	6	8	14	No Quantity	No Quantity	
France	0	1	2	27	121	71	46	6	8	1	4	No Quantity	No Quantity	
Italy	6	4	0	7	46	23	11	12	0	6	4	No Quantity	0	
Australia	0	0	0	0	0	0	0	0	0	0	3	No Quantity	No Quantity	
Equatorial Guinea	0	0	0	0	0	0	0	0	0	2	2	No Quantity	0	
Austria	0	0	0	0	0	0	0	0	5	15	2	No Quantity	No Quantity	
Cuba	0	0	0	0	0	0	0	0	1	0	2	No Quantity	0	
Switzerland	0	6	1	0	0	1	8	1	0	1	2	No Quantity	No Quantity	
Bulgaria	0	0	0	0	0	0	0	0	0	0	1	0	0	
Korea, Republic of	0	0	0	1	0	10	3	0	0	0	1	No Quantity	No Quantity	
Ukraine	0	0	3	0	0	0	0	0	0	0	1	0	0	
Angola	0	0	0	0	0	0	0	0	0	0	0	0	0	
America not elsewhere specified	0	0	0	0	1	0	0	0	0	0	0	0	0	
Area Nes	3	3	2	0	0	0	0	0	0	0	0	0	No Quantity	
Andorra	0	0	0	0	0	0	0	0	0	0	0	No Quantity	0	
Canada	2	0	3	1	3	0	1	0	1	6	0	No Quantity	No Quantity	
Colombia	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Cyprus	0	0	0	0	0	0	0	0	0	0	0	No Quantity	0	
Denmark	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Ethiopia	0	0	0	0	0	0	1	0	0	0	0	0	0	
Ghana	0	0	0	0	0	0	0	23	0	0	0	No Quantity	0	
Greece	0	0	0	0	0	0	0	0	0	0	0	0	0	
Hong Kong, China	1	0	0	0	0	0	1	0	0	0	0	No Quantity	No Quantity	
Hungary	0	0	0	0	0	0	0	0	0	0	0	No Quantity	No Quantity	
Ireland	0	0	0	0	0	0	0	0	0	0	0	0	0	
Kazakhstan	0	0	0	0	0	0	0	0	1	0	0	0	0	
Jordan	0	0	0	0	0	0	0	0	0	5	0	No Quantity	No Quantity	
Kenya	0	0	0	0	0	0	0	0	1	0	0	0	0	
Malaysia	0	0	0	0	0	0	0	0	0	0	0	No Quantity	0	
Taipei, Chinese	0	0	0	4	0	0	0	0	0	0	0	0	0	
New Zealand	0	0	0	0	0	0	0	0	0	0	0	0	0	
Nigeria	0	0	0	0	0	0	0	0	0	2	0	No Quantity	No Quantity	
Norway	0	0	0	0	2	0	0	0	0	0	0	0	0	
Panama	0	0	0	0	0	0	0	0	0	0	0	No Quantity	0	
Papua New Guinea	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Poland	0	0	0	0	0	0	0	0	0	0	0	No Quantity	0	
Portugal	0	0	0	0	112	0	0	0	0	0	0	0	0	
Romania	0	0	0	0	0	0	0	0	0	0	0	No Quantity	No Quantity	
Russian Federation	0	13	88	0	2	5	12	2	2	0	0	No Quantity	No Quantity	
India	0	0	0	0	0	0	0	0	0	0	0	0	0	
Singapore	0	0	0	0	0	0	0	0	0	0	0	0	0	
South Africa	3	0	1	3	0	0	0	1	0	0	0	No Quantity	No Quantity	
Spain	0	0	0	0	377	0	0	2	0	10	0	0	0	
Sweden	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Thailand	6	0	1	0	0	0	0	0	0	0	0	0	No Quantity	
Turkey	0	0	0	0	0	0	0	0	0	0	0	0	0	
Tanzania, United Republic of	0	0	0	0	0	0	9	0	0	0	0	0	0	
