List of importing markets for a product exported by Israel Product: 1507 Soya-bean oil&its fractions
"Importers"	"2001-Exported quantity, Tons"	"2002-Exported quantity, Tons"	"2003-Exported quantity, Tons"	"2004-Exported quantity, Tons"	"2005-Exported quantity, Tons"	"2006-Exported quantity, Tons"	"2007-Exported quantity, Tons"	"2008-Exported quantity, "	"2009-Exported quantity, Tons"	"2010-Exported quantity, Tons"	"2011-Exported quantity, Tons"	"2012-Exported quantity, "	"2013-Exported quantity, "	
World	10,452	3	1	11	137	15	9	No Quantity	3	2	50	No Quantity	No Quantity	
Jordan	0	0	0	0	0	0	0	0	0	0	30	0	0	
Equatorial Guinea	0	0	0	0	0	0	0	0	0	1	8	0	0	
Bulgaria	0	0	0	0	0	0	0	0	0	0	6	0	0	
Cyprus	0	0	0	0	2	2	0	0	0	0	5	0	0	
Belgium	0	0	0	0	0	0	0	0	0	0	1	0	0	
Argentina	0	0	0	0	0	0	0	0	0	0	0	No Quantity	0	
Austria	0	0	0	0	0	0	0	0	1	0	0	0	0	
Cameroon	0	0	0	0	0	0	0	0	2	0	0	0	0	
Chile	0	0	0	0	0	0	0	0	0	0	0	No Quantity	0	
Dominican Republic	0	0	0	0	0	0	0	0	0	0	0	No Quantity	0	
Eritrea	82	0	0	0	0	0	0	0	0	0	0	0	0	
France	0	0	0	11	0	0	9	0	0	0	0	0	0	
Georgia	6,400	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Germany	0	0	1	0	0	0	0	0	0	0	0	No Quantity	No Quantity	
Hong Kong, China	0	2	0	0	0	0	0	0	0	0	0	0	0	
Hungary	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Japan	0	0	0	0	9	0	0	0	0	0	0	0	0	
Netherlands	0	0	0	0	122	12	0	0	0	0	0	0	0	
Poland	0	2	0	0	0	0	0	0	0	0	0	0	0	
Thailand	0	0	0	0	2	0	0	0	0	0	0	0	0	
Turkey	3,970	0	0	0	0	0	0	0	0	0	0	0	0	
United States of America	0	0	0	0	1	0	0	0	0	0	0	No Quantity	0	
