List of importing markets for a product exported by Israel Product: 1704 Sugar confectionery (incl white choc), not containing cocoa
"Importers"	"2001-Exported quantity, Tons"	"2002-Exported quantity, Tons"	"2003-Exported quantity, Tons"	"2004-Exported quantity, Tons"	"2005-Exported quantity, Tons"	"2006-Exported quantity, Tons"	"2007-Exported quantity, Tons"	"2008-Exported quantity, Tons"	"2009-Exported quantity, Tons"	"2010-Exported quantity, Tons"	"2011-Exported quantity, Tons"	"2012-Exported quantity, Tons"	"2013-Exported quantity, "	
World	751	1,518	2,219	1,155	1,285	1,608	2,986	2,654	1,991	2,446	2,850	No Quantity	No Quantity	
United States of America	517	1,233	1,684	639	743	994	1,856	1,839	1,321	1,665	2,013	No Quantity	No Quantity	
United Kingdom	38	51	101	94	110	172	350	125	64	138	161	No Quantity	No Quantity	
Canada	63	38	124	56	42	43	202	115	170	175	134	No Quantity	No Quantity	
France	29	122	106	86	58	101	246	180	69	89	97	No Quantity	No Quantity	
South Africa	20	17	85	112	158	148	68	49	51	84	93	No Quantity	No Quantity	
Belgium	7	11	17	46	40	27	93	46	37	76	67	No Quantity	No Quantity	
Australia	10	9	16	11	17	22	18	61	49	33	47	No Quantity	No Quantity	
Czech Republic	0	0	9	19	10	0	12	44	15	17	31	11	No Quantity	
Russian Federation	3	5	26	31	9	8	0	5	48	5	29	No Quantity	No Quantity	
Brazil	2	5	1	0	0	9	0	0	2	9	25	No Quantity	No Quantity	
Germany	0	7	9	10	2	10	29	19	7	34	24	No Quantity	No Quantity	
Italy	7	0	0	0	12	0	0	52	11	27	21	No Quantity	No Quantity	
Netherlands	1	8	10	1	1	5	7	21	0	8	21	No Quantity	No Quantity	
Cyprus	0	0	0	0	0	0	4	0	0	0	18	No Quantity	No Quantity	
Switzerland	0	1	4	1	4	17	5	9	10	12	16	No Quantity	No Quantity	
Spain	7	0	2	3	0	1	1	1	37	1	12	No Quantity	No Quantity	
Mexico	5	11	2	0	0	0	14	5	5	13	9	2	No Quantity	
Singapore	0	0	0	3	0	2	4	7	1	4	8	No Quantity	No Quantity	
Poland	0	0	0	0	1	2	16	31	14	7	6	No Quantity	0	
Greece	0	0	0	0	0	1	7	0	1	11	4	No Quantity	No Quantity	
New Zealand	0	0	13	7	6	11	5	11	3	5	4	4	No Quantity	
Argentina	3	0	0	1	0	8	5	1	1	4	3	No Quantity	No Quantity	
Austria	0	0	0	0	13	0	0	0	0	3	3	0	0	
Latvia	1	0	0	0	0	0	0	0	0	0	2	0	No Quantity	
Angola	0	0	0	0	0	0	0	0	0	0	1	0	0	
Equatorial Guinea	0	0	0	0	0	0	0	0	0	0	1	No Quantity	0	
Uruguay	0	0	0	0	0	0	0	0	0	0	1	0	0	
Gibraltar	0	0	0	0	0	0	0	1	0	0	0	0	0	
Africa not elsewhere specified	0	0	0	0	0	1	0	0	0	0	0	0	0	
Area Nes	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Andorra	0	0	0	0	0	0	0	0	0	0	0	0	0	
Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bosnia and Herzegovina	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chile	0	0	0	0	0	0	1	2	0	0	0	0	0	
China	0	0	0	0	0	7	0	0	0	0	0	0	No Quantity	
Croatia	0	0	0	0	0	0	3	0	0	0	0	0	0	
Denmark	0	0	0	1	0	0	0	0	0	0	0	2	No Quantity	
Dominican Republic	0	0	0	0	1	0	0	0	0	0	0	0	0	
Georgia	0	0	0	0	0	0	0	0	0	1	0	0	0	
Hong Kong, China	0	0	0	0	0	2	5	1	0	0	0	0	No Quantity	
Hungary	0	0	5	2	3	1	0	2	0	0	0	0	No Quantity	
Ireland	0	0	0	1	0	0	12	0	0	0	0	0	0	
Japan	0	0	0	0	0	0	9	0	0	0	0	0	No Quantity	
Kazakhstan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jordan	0	0	0	0	1	1	0	0	4	4	0	0	No Quantity	
Kenya	0	1	0	0	0	0	0	0	0	0	0	0	0	
Lithuania	0	0	0	0	0	0	0	0	0	0	0	3	0	
Malta	0	0	0	0	0	1	0	0	0	0	0	0	0	
Taipei, Chinese	0	0	0	0	0	0	0	0	1	0	0	0	No Quantity	
Republic of Moldova	0	0	0	0	0	0	0	0	0	0	0	0	0	
Nepal	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Nigeria	0	0	0	1	0	0	0	0	0	0	0	0	0	
Panama	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Portugal	0	0	0	0	3	0	0	0	0	0	0	0	0	
Romania	0	0	1	19	22	3	14	8	1	0	0	0	No Quantity	
India	0	0	0	1	0	0	0	0	0	0	0	No Quantity	No Quantity	
Slovakia	0	0	0	0	0	0	0	0	19	12	0	0	0	
Slovenia	0	0	0	0	0	0	0	0	0	6	0	0	0	
Sweden	0	0	0	0	1	0	0	0	0	0	0	0	0	
Thailand	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Turkey	0	1	0	0	8	9	0	12	50	0	0	5	No Quantity	
Ukraine	38	0	2	11	19	3	1	6	0	2	0	2	No Quantity	
