List of importing markets for a product exported by Israel Product: 0902 Tea
"Importers"	"2001-Exported quantity, Tons"	"2002-Exported quantity, Tons"	"2003-Exported quantity, Tons"	"2004-Exported quantity, "	"2005-Exported quantity, Tons"	"2006-Exported quantity, Tons"	"2007-Exported quantity, Tons"	"2008-Exported quantity, Tons"	"2009-Exported quantity, Tons"	"2010-Exported quantity, Tons"	"2011-Exported quantity, Tons"	"2012-Exported quantity, "	"2013-Exported quantity, "	
World	129	70	95	0	285	416	468	474	315	228	478	No Quantity	No Quantity	
Spain	0	0	0	0	0	0	0	0	81	27	294	No Quantity	No Quantity	
United States of America	36	28	63	0	177	218	183	228	165	142	93	No Quantity	No Quantity	
France	26	20	22	0	8	21	37	9	34	26	29	No Quantity	No Quantity	
Russian Federation	48	1	2	0	0	0	9	123	0	0	20	No Quantity	No Quantity	
Canada	0	0	0	0	7	0	76	4	15	13	15	No Quantity	No Quantity	
Australia	1	0	0	0	0	5	9	12	0	0	7	No Quantity	No Quantity	
Belgium	2	4	0	0	12	34	18	7	0	0	6	No Quantity	No Quantity	
Netherlands	6	2	1	0	1	0	0	0	0	0	6	No Quantity	No Quantity	
Japan	1	0	0	0	0	0	1	1	2	4	2	No Quantity	No Quantity	
Latvia	2	0	0	0	5	0	0	0	0	0	2	0	0	
United Kingdom	0	12	2	0	2	8	16	0	2	0	2	No Quantity	No Quantity	
Germany	2	1	3	0	3	4	8	5	2	2	1	No Quantity	No Quantity	
Korea, Republic of	0	0	0	0	0	0	8	0	0	0	1	0	0	
Uzbekistan	0	0	0	0	0	0	0	4	0	0	0	0	0	
Area Nes	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Andorra	0	0	0	0	0	0	0	0	0	0	0	No Quantity	0	
Argentina	0	0	0	0	0	0	0	0	0	3	0	0	No Quantity	
Austria	1	0	0	0	42	112	85	69	1	0	0	0	0	
Armenia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulgaria	0	0	0	0	0	0	0	0	2	0	0	0	0	
China	0	0	0	0	0	0	0	0	2	0	0	No Quantity	0	
Cyprus	0	0	0	0	9	5	2	0	0	2	0	0	0	
Czech Republic	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Denmark	0	0	0	0	0	0	1	0	0	0	0	0	0	
Ecuador	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Finland	0	0	0	0	0	0	0	0	0	0	0	0	0	
Greece	0	0	0	0	0	0	0	0	0	1	0	0	No Quantity	
Hong Kong, China	0	0	0	0	0	0	0	0	0	0	0	No Quantity	No Quantity	
Hungary	0	0	0	0	0	0	0	0	0	0	0	No Quantity	No Quantity	
Iceland	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Italy	0	0	0	0	0	0	0	0	0	0	0	No Quantity	No Quantity	
Kazakhstan	0	0	0	0	0	0	0	0	0	1	0	No Quantity	No Quantity	
Jordan	0	0	1	0	0	0	0	1	0	0	0	0	0	
Mexico	0	0	0	0	0	0	0	0	0	0	0	No Quantity	0	
Taipei, Chinese	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Nigeria	0	0	0	0	0	0	0	0	0	0	0	No Quantity	0	
Norway	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Poland	0	0	0	0	0	0	0	0	0	3	0	No Quantity	No Quantity	
Portugal	0	0	0	0	0	0	0	0	0	0	0	No Quantity	0	
Romania	3	0	0	0	0	0	0	0	0	0	0	0	0	
India	0	0	0	0	0	0	0	0	0	1	0	0	0	
Slovenia	0	0	0	0	0	0	0	0	0	0	0	0	0	
South Africa	0	1	0	0	0	9	5	0	7	1	0	0	No Quantity	
Swaziland	0	1	0	0	0	0	0	0	0	0	0	0	0	
Switzerland	2	0	0	0	0	0	2	0	0	0	0	No Quantity	No Quantity	
Thailand	0	0	0	0	0	0	0	1	0	0	0	No Quantity	No Quantity	
Ukraine	0	0	0	0	18	0	8	11	0	0	0	0	No Quantity	
Uruguay	0	0	0	0	0	0	0	0	1	0	0	0	No Quantity	
