List of importing markets for a product exported by Israel Product: 1001 Wheat and meslin
"Importers"	"2001-Exported quantity, Tons"	"2002-Exported quantity, Tons"	"2003-Exported quantity, Tons"	"2004-Exported quantity, Tons"	"2005-Exported quantity, Tons"	"2006-Exported quantity, "	"2007-Exported quantity, Tons"	"2008-Exported quantity, Tons"	"2009-Exported quantity, Tons"	"2010-Exported quantity, Tons"	"2011-Exported quantity, Tons"	"2012-Exported quantity, Tons"	"2013-Exported quantity, "	
World	3,027	25	28	171	134	0	67	10,798	9,774	1,000	811	No Quantity	No Quantity	
Jordan	2,421	0	0	0	0	0	0	10,122	9,517	0	310	0	0	
Germany	0	0	0	0	0	0	0	0	0	0	163	No Quantity	No Quantity	
Austria	0	0	0	0	0	0	0	0	0	0	86	0	0	
Kazakhstan	0	0	0	0	0	0	0	0	0	0	73	No Quantity	0	
Italy	0	0	0	0	0	0	0	0	0	33	54	22	No Quantity	
United States of America	0	0	0	0	0	0	0	11	3	15	47	No Quantity	No Quantity	
Australia	0	0	0	0	0	0	0	0	0	0	37	0	0	
Greece	0	0	0	0	0	0	0	0	0	0	12	0	0	
Singapore	0	0	0	0	0	0	0	0	0	0	12	0	0	
United Kingdom	0	0	0	0	0	0	0	0	0	0	12	0	0	
Spain	0	0	14	0	24	0	0	0	0	0	4	0	0	
Africa not elsewhere specified	0	8	0	0	0	0	0	0	0	0	0	0	0	
Brazil	0	0	0	0	0	0	0	0	0	257	0	0	0	
China	0	0	0	0	0	0	0	0	0	0	0	No Quantity	0	
Cyprus	605	0	0	0	0	0	0	0	0	0	0	0	0	
Denmark	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
France	0	0	0	0	0	0	0	0	13	0	0	0	No Quantity	
Georgia	0	0	0	0	0	0	0	4	208	0	0	2	No Quantity	
Hong Kong, China	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Kenya	0	0	0	0	0	0	0	173	0	0	0	0	0	
Malta	0	0	0	0	0	0	36	73	0	0	0	0	0	
Taipei, Chinese	0	0	0	0	0	0	0	199	0	0	0	0	0	
Netherlands	0	0	0	0	0	0	0	216	0	0	0	0	0	
Poland	0	0	0	0	0	0	0	0	0	460	0	No Quantity	0	
Portugal	0	0	0	0	0	0	0	0	0	88	0	0	0	
India	0	0	0	0	0	0	0	0	0	104	0	0	0	
South Africa	0	0	0	0	0	0	0	0	0	38	0	0	0	
Switzerland	0	0	0	0	0	0	0	0	0	5	0	0	0	
Turkey	0	0	0	171	110	0	31	0	33	0	0	0	0	
Uganda	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Ukraine	0	0	14	0	0	0	0	0	0	0	0	0	0	
Tanzania, United Republic of	0	17	0	0	0	0	0	0	0	0	0	0	0	
Zambia	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
