List of supplying markets for a product imported by Israel Product: 0901 Coffee
"Exporters"	"2001-Imported quantity, Tons"	"2002-Imported quantity, Tons"	"2003-Imported quantity, Tons"	"2004-Imported quantity, "	"2005-Imported quantity, Tons"	"2006-Imported quantity, Tons"	"2007-Imported quantity, Tons"	"2008-Imported quantity, Tons"	"2009-Imported quantity, Tons"	"2010-Imported quantity, Tons"	"2011-Imported quantity, Tons"	"2012-Imported quantity, Tons"	"2013-Imported quantity, "	
World	23,342	19,755	20,154	0	23,469	27,765	28,403	28,552	24,707	30,128	26,883	No Quantity	No Quantity	
Viet Nam	5,147	5,562	6,392	0	3,557	6,379	12,261	11,313	9,602	10,251	7,731	4,211	No Quantity	
Switzerland	1,011	986	814	0	5,665	4,648	3,111	1,906	2,452	3,607	5,115	No Quantity	No Quantity	
Italy	1,726	2,020	1,244	0	3,760	4,522	3,508	3,838	2,748	3,279	3,522	No Quantity	No Quantity	
Germany	717	618	736	0	765	793	905	2,016	1,582	2,244	1,919	1,731	No Quantity	
Ethiopia	847	977	1,080	0	457	497	756	917	512	1,190	1,549	230	No Quantity	
Uganda	294	485	538	0	519	342	1,263	569	966	1,839	1,205	610	No Quantity	
Brazil	1,326	672	756	0	1,214	1,803	1,012	1,526	1,513	2,062	1,016	405	No Quantity	
India	1,934	1,159	405	0	165	1,032	932	780	570	1,418	751	887	No Quantity	
Belgium	299	452	613	0	294	653	381	372	374	592	746	869	No Quantity	
Singapore	403	180	18	0	81	0	18	77	0	20	534	211	No Quantity	
Honduras	397	38	280	0	139	123	171	209	304	199	480	145	No Quantity	
Colombia	1,420	1,271	1,972	0	1,930	2,146	1,378	1,956	554	297	344	272	No Quantity	
Hong Kong, China	0	18	0	0	0	0	0	0	0	0	319	480	0	
United Kingdom	746	393	983	0	490	319	77	20	77	182	313	259	No Quantity	
Peru	0	152	190	0	77	183	152	228	494	532	266	304	No Quantity	
United States of America	3,219	1,734	1,519	0	1,707	1,019	191	402	380	330	255	633	No Quantity	
Korea, Republic of	0	0	0	0	0	0	0	0	0	0	120	0	0	
Netherlands	23	79	3	0	152	127	35	28	94	111	113	385	No Quantity	
El Salvador	0	19	0	0	0	0	0	0	57	57	95	19	No Quantity	
Austria	0	0	0	0	0	0	0	0	31	47	71	No Quantity	No Quantity	
Spain	1	10	37	0	102	55	93	101	52	53	61	46	No Quantity	
Mexico	86	0	0	0	0	0	0	4	39	201	57	38	0	
South Africa	73	175	192	0	164	192	117	19	100	52	55	122	No Quantity	
