List of supplying markets for a product imported by Israel Product: 1502 Bovine,sheep&goat fats
"Exporters"	"2001-Imported quantity, Tons"	"2002-Imported quantity, Tons"	"2003-Imported quantity, Tons"	"2004-Imported quantity, Tons"	"2005-Imported quantity, Tons"	"2006-Imported quantity, Tons"	"2007-Imported quantity, Tons"	"2008-Imported quantity, Tons"	"2009-Imported quantity, Tons"	"2010-Imported quantity, Tons"	"2011-Imported quantity, Tons"	"2012-Imported quantity, Tons"	"2013-Imported quantity, "	
World	1,866	2,230	1,872	2,152	1,873	2,663	2,403	1,707	2,666	2,418	2,353	3,098	No Quantity	
Argentina	264	268	469	1,351	909	1,115	1,320	692	1,388	970	1,100	999	No Quantity	
Uruguay	644	943	701	249	171	425	270	409	259	243	503	1,396	No Quantity	
Paraguay	0	24	16	25	68	242	84	56	133	181	274	67	No Quantity	
Panama	0	14	93	15	275	372	191	163	272	216	162	181	0	
Poland	0	0	0	0	0	0	0	9	67	158	161	194	No Quantity	
Brazil	603	311	160	164	188	250	238	170	283	176	93	181	No Quantity	
France	0	0	0	0	0	0	0	0	7	21	25	41	0	
Australia	0	0	0	0	0	0	0	0	0	34	24	0	0	
United States of America	5	7	17	11	0	6	0	0	0	0	9	0	0	
United Kingdom	239	558	400	337	262	252	300	199	228	393	2	33	No Quantity	
Belgium	0	0	0	0	0	0	0	0	0	0	0	0	0	
Canada	0	103	16	0	0	0	0	0	0	0	0	0	0	
Cyprus	110	0	0	0	0	0	0	0	0	0	0	0	0	
Germany	0	0	0	0	0	0	0	9	7	0	0	0	0	
Hungary	0	0	0	0	0	0	0	0	0	0	0	4	0	
Iceland	0	0	0	0	0	0	0	0	15	25	0	0	0	
Latvia	0	0	0	0	0	0	0	0	7	0	0	0	0	
Uganda	0	0	0	0	0	0	0	0	0	0	0	2	0	
