List of supplying markets for a product imported by Israel Product: 1202 Ground-nuts, not roasted
"Exporters"	"2001-Imported quantity, Tons"	"2002-Imported quantity, Tons"	"2003-Imported quantity, Tons"	"2004-Imported quantity, Tons"	"2005-Imported quantity, Tons"	"2006-Imported quantity, Tons"	"2007-Imported quantity, Tons"	"2008-Imported quantity, Tons"	"2009-Imported quantity, Tons"	"2010-Imported quantity, Tons"	"2011-Imported quantity, Tons"	"2012-Imported quantity, Tons"	"2013-Imported quantity, "	
World	2,142	1,393	1,175	2,045	2,005	1,983	1,761	2,902	2,506	1,416	2,031	3,343	No Quantity	
China	1,675	806	876	1,589	1,503	680	1,256	1,987	2,129	853	844	2,122	No Quantity	
India	54	0	0	65	0	0	40	390	57	0	531	660	No Quantity	
United States of America	287	240	263	349	289	265	337	400	255	304	460	230	No Quantity	
Argentina	36	0	0	0	2	1,038	111	50	3	68	144	0	No Quantity	
Paraguay	0	0	0	0	0	0	0	0	10	98	20	0	0	
United Kingdom	0	47	0	25	0	0	0	0	0	0	19	114	0	
Hong Kong, China	0	203	36	0	195	0	18	0	0	0	15	203	0	
Uzbekistan	0	0	0	0	0	0	0	0	0	0	0	10	0	
Brazil	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Cameroon	0	0	0	0	0	0	0	38	0	19	0	0	0	
Ethiopia	0	88	0	0	0	0	0	36	0	0	0	0	0	
Greece	0	0	0	0	4	0	0	0	0	0	0	0	0	
Jordan	0	10	0	0	0	0	0	0	0	0	0	0	0	
Romania	0	0	0	17	0	0	0	0	0	0	0	0	0	
Singapore	0	0	0	0	0	0	0	0	51	0	0	0	0	
South Africa	89	0	0	0	0	0	0	0	0	0	0	0	0	
Switzerland	0	0	0	0	0	0	0	0	0	75	0	0	0	
Thailand	0	0	0	0	0	0	0	0	1	0	0	5	0	
Egypt	0	0	0	0	11	0	0	0	0	0	0	0	0	
