List of supplying markets for a product imported by Israel Product: 1008 Buckwheat, millet and canary seed
"Exporters"	"2001-Imported quantity, Tons"	"2002-Imported quantity, Tons"	"2003-Imported quantity, Tons"	"2004-Imported quantity, Tons"	"2005-Imported quantity, Tons"	"2006-Imported quantity, Tons"	"2007-Imported quantity, Tons"	"2008-Imported quantity, Tons"	"2009-Imported quantity, Tons"	"2010-Imported quantity, Tons"	"2011-Imported quantity, Tons"	"2012-Imported quantity, Tons"	"2013-Imported quantity, "	
World	No Quantity	2,706	No Quantity	4,921	5,650	3,900	20,189	8,480	7,019	8,203	No Quantity	5,991	No Quantity	
Cyprus	0	0	0	0	0	0	595	0	0	0	1,606	0	No Quantity	
Canada	133	171	110	272	204	290	332	249	108	220	292	304	No Quantity	
Ukraine	No Quantity	139	49	192	269	79	43	187	853	992	184	1,114	No Quantity	
Argentina	0	0	0	0	0	0	0	0	0	0	161	23	0	
Spain	0	0	0	0	0	0	0	0	0	87	107	285	No Quantity	
Panama	0	0	0	0	0	0	0	0	0	854	45	75	0	
Bulgaria	0	0	86	0	155	34	0	44	0	0	22	0	No Quantity	
British Virgin Islands	0	0	0	0	0	0	0	0	0	0	9	0	0	
Russian Federation	No Quantity	161	No Quantity	910	31	37	14	49	31	20	6	109	No Quantity	
Latvia	0	0	0	0	0	0	0	0	0	0	4	0	0	
Australia	0	44	0	0	0	0	0	44	1	0	0	0	No Quantity	
Austria	0	0	0	0	0	0	2,020	0	0	0	0	0	0	
Belgium	No Quantity	93	No Quantity	9	3	10	14	101	20	13	No Quantity	11	No Quantity	
Bolivia	0	0	0	0	0	795	278	0	22	0	No Quantity	342	No Quantity	
Belarus	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chile	0	0	0	0	0	0	0	0	0	0	0	88	0	
China	78	57	No Quantity	84	134	254	79	314	132	205	No Quantity	162	No Quantity	
Czech Republic	90	27	2	0	0	0	0	0	0	0	0	0	0	
Ecuador	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Ethiopia	1,298	988	3,340	1,173	1,329	1,190	4,649	4,627	4,854	5,086	No Quantity	9	No Quantity	
Faroe Islands	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
France	974	0	0	0	1,204	0	0	0	0	0	0	0	0	
Djibouti	0	0	0	0	0	0	0	60	0	0	0	4	0	
Germany	0	0	0	1,457	21	18	17	5	1	0	0	20	0	
Greece	0	0	0	0	0	0	0	0	0	0	0	1,605	0	
Hungary	39	0	0	0	847	0	0	0	0	0	0	0	0	
Ireland	0	0	0	0	10	0	0	0	0	0	0	0	0	
Italy	37	17	18	21	6	0	0	0	0	1	0	42	No Quantity	
Kenya	0	0	0	0	0	0	0	0	0	91	No Quantity	0	0	
Taipei, Chinese	0	0	0	8	0	0	0	0	0	0	0	0	0	
Netherlands	No Quantity	152	No Quantity	73	36	51	3,499	1,358	2	3	No Quantity	460	0	
Peru	0	0	0	0	0	530	0	0	0	64	No Quantity	239	No Quantity	
Poland	0	32	0	0	0	0	0	0	0	0	0	0	0	
Seychelles	0	0	0	0	0	0	0	0	0	0	0	26	0	
India	199	157	187	206	164	188	178	416	233	227	No Quantity	458	No Quantity	
South Africa	0	0	0	0	0	0	0	0	0	0	No Quantity	217	No Quantity	
Turkey	0	0	0	0	0	24	0	0	0	0	0	0	0	
Egypt	0	0	15	0	0	0	0	0	9	0	0	0	0	
United Kingdom	1,540	0	0	0	905	0	0	1	514	0	0	0	No Quantity	
United States of America	No Quantity	668	529	517	334	398	8,472	1,025	240	340	No Quantity	399	No Quantity	
