List of supplying markets for a product imported by Israel Product: 0802 Nuts nes
"Exporters"	"2001-Imported quantity, Tons"	"2002-Imported quantity, Tons"	"2003-Imported quantity, Tons"	"2004-Imported quantity, "	"2005-Imported quantity, Tons"	"2006-Imported quantity, Tons"	"2007-Imported quantity, Tons"	"2008-Imported quantity, Tons"	"2009-Imported quantity, Tons"	"2010-Imported quantity, Tons"	"2011-Imported quantity, Tons"	"2012-Imported quantity, Tons"	"2013-Imported quantity, "	
World	15,732	12,370	14,248	0	16,217	17,234	12,327	16,164	14,338	14,327	14,141	12,995	No Quantity	
United States of America	8,956	6,890	7,606	0	9,486	11,330	5,941	8,818	10,325	10,731	11,391	9,237	No Quantity	
Turkey	2,721	3,720	4,014	0	4,410	3,795	3,828	4,284	2,081	1,578	1,508	1,905	No Quantity	
China	236	99	195	0	769	1,116	1,738	1,953	1,475	1,561	1,002	1,440	No Quantity	
United Kingdom	1,481	332	775	0	483	808	456	529	231	191	87	112	0	
Germany	1,623	790	1,324	0	476	0	0	0	0	19	40	0	0	
South Africa	43	32	44	0	35	33	10	134	47	88	39	32	No Quantity	
Guatemala	37	0	0	0	0	0	9	22	20	0	27	0	No Quantity	
Georgia	0	1	0	0	0	44	49	62	0	0	15	0	0	
Hong Kong, China	74	15	9	0	32	0	153	16	48	0	13	13	0	
Greece	153	34	0	0	61	0	31	59	0	0	10	82	No Quantity	
Italy	0	23	20	0	1	2	0	0	1	3	6	10	No Quantity	
Spain	33	67	0	0	15	0	0	0	2	13	2	0	No Quantity	
India	26	16	0	0	0	0	0	13	0	0	1	0	0	
Ukraine	0	5	0	0	0	0	0	9	0	0	1	0	No Quantity	
Gibraltar	52	85	0	0	0	0	0	0	0	0	0	0	0	
Uzbekistan	0	0	0	0	0	0	0	6	0	3	0	67	No Quantity	
Azerbaijan	0	0	0	0	0	0	0	5	0	1	0	0	No Quantity	
Australia	12	8	0	0	0	0	0	0	16	0	0	0	0	
Belgium	0	0	0	0	27	0	0	0	0	0	0	0	0	
Brazil	0	0	0	0	49	0	0	0	0	0	0	0	0	
Bulgaria	0	0	0	0	0	0	0	12	0	0	0	0	0	
Canada	28	0	0	0	0	0	84	168	84	140	0	0	0	
Chile	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Croatia	0	0	10	0	50	19	0	0	0	0	0	0	0	
France	133	222	52	0	295	61	8	21	0	0	0	0	0	
Côte d'Ivoire	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Jordan	51	0	190	0	14	0	0	0	0	0	0	0	No Quantity	
Kenya	0	0	0	0	2	3	5	5	0	0	0	0	No Quantity	
Kyrgyzstan	0	0	0	0	0	0	0	1	0	0	0	44	No Quantity	
Luxembourg	0	0	0	0	0	0	9	0	0	0	0	0	0	
Malawi	0	0	0	0	11	0	0	0	0	0	0	0	No Quantity	
Republic of Moldova	0	0	0	0	0	0	0	46	0	0	0	0	0	
Netherlands	5	3	1	0	0	1	1	0	4	0	0	52	No Quantity	
Nigeria	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Pakistan	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Philippines	15	0	0	0	0	0	0	0	0	0	0	0	0	
Portugal	0	0	0	0	0	0	0	0	3	0	0	0	0	
Romania	48	0	0	0	0	23	0	0	0	0	0	0	No Quantity	
Russian Federation	4	28	8	0	0	0	6	0	0	0	0	0	No Quantity	
Viet Nam	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
