List of supplying markets for a product imported by Israel Product: 0206 Edible offal of red meat
"Exporters"	"2001-Imported quantity, Tons"	"2002-Imported quantity, Tons"	"2003-Imported quantity, Tons"	"2004-Imported quantity, "	"2005-Imported quantity, Tons"	"2006-Imported quantity, Tons"	"2007-Imported quantity, Tons"	"2008-Imported quantity, Tons"	"2009-Imported quantity, Tons"	"2010-Imported quantity, Tons"	"2011-Imported quantity, Tons"	"2012-Imported quantity, Tons"	"2013-Imported quantity, "	
World	3,708	4,750	5,644	0	3,712	3,622	3,298	3,087	2,612	2,725	2,442	2,492	No Quantity	
Argentina	421	67	754	0	1,063	710	908	601	1,010	787	810	755	No Quantity	
Brazil	1,284	2,297	1,674	0	811	1,355	1,161	1,138	626	705	415	480	No Quantity	
Uruguay	687	873	1,236	0	697	801	417	445	222	222	327	527	No Quantity	
Paraguay	0	0	0	0	420	343	257	288	390	258	269	3	No Quantity	
Netherlands	74	95	104	0	234	25	185	198	174	338	247	353	No Quantity	
China	0	0	0	0	0	0	0	0	0	0	145	0	0	
Panama	15	42	176	0	58	61	26	88	37	90	90	158	No Quantity	
Poland	0	0	0	0	0	0	0	1	8	8	59	94	No Quantity	
United Kingdom	396	515	869	0	343	235	252	177	116	258	49	5	0	
France	2	19	17	0	66	57	92	105	16	38	30	76	No Quantity	
New Zealand	0	0	0	0	0	0	1	2	2	0	1	0	0	
Australia	253	76	0	0	0	0	0	0	0	0	0	0	0	
Belgium	0	0	0	0	0	0	0	46	0	0	0	0	0	
Canada	19	0	0	0	0	0	0	0	0	0	0	0	0	
Chile	0	19	196	0	0	1	0	0	0	4	0	0	No Quantity	
Cyprus	0	0	0	0	0	0	0	0	0	0	0	40	No Quantity	
Hungary	0	0	24	0	0	0	0	0	0	0	0	0	0	
Iceland	0	0	0	0	0	0	0	0	12	16	0	0	0	
Italy	0	0	0	0	11	0	0	0	0	0	0	0	0	
Norway	0	0	0	0	0	17	0	0	0	0	0	0	0	
South Africa	0	0	0	0	1	0	0	0	0	0	0	0	0	
Spain	0	53	0	0	0	0	0	0	0	0	0	0	0	
United States of America	557	694	596	0	6	18	0	0	0	0	0	0	0	
