List of supplying markets for a product imported by Israel Product: 1511 Palm oil & its fraction
"Exporters"	"2001-Imported quantity, Tons"	"2002-Imported quantity, Tons"	"2003-Imported quantity, Tons"	"2004-Imported quantity, Tons"	"2005-Imported quantity, Tons"	"2006-Imported quantity, Tons"	"2007-Imported quantity, Tons"	"2008-Imported quantity, Tons"	"2009-Imported quantity, Tons"	"2010-Imported quantity, Tons"	"2011-Imported quantity, Tons"	"2012-Imported quantity, Tons"	"2013-Imported quantity, "	
World	17,049	19,004	22,886	24,269	20,238	30,059	24,563	39,715	31,804	26,810	25,232	24,047	No Quantity	
Singapore	6,546	9,129	9,674	18,562	13,226	11,387	12,291	12,424	13,730	18,118	11,871	15,762	No Quantity	
Malaysia	1,626	816	6,065	1,927	3,005	7,520	4,581	5,521	5,572	2,851	7,994	2,877	No Quantity	
Indonesia	151	117	0	3,126	3,875	9,324	4,311	16,407	11,916	5,479	4,544	5,125	No Quantity	
Spain	0	0	0	0	0	0	0	0	0	0	306	0	0	
Hong Kong, China	0	0	0	0	0	0	0	0	23	65	161	0	0	
Netherlands	52	20	743	2	0	0	1	150	80	139	159	59	0	
Australia	0	0	0	0	0	0	0	0	0	0	150	132	0	
Denmark	264	19	0	41	80	287	400	416	0	20	20	0	0	
Colombia	0	0	0	0	0	0	0	0	0	0	12	22	No Quantity	
Germany	10	7	1,760	7	18	1,491	1	6	11	8	10	20	No Quantity	
France	0	0	0	0	0	7	4	2	4	5	2	1	No Quantity	
United Kingdom	0	0	0	0	0	0	0	0	0	0	2	0	No Quantity	
Thailand	0	0	0	0	0	0	32	0	0	0	1	0	No Quantity	
Austria	0	0	977	0	0	0	0	0	0	0	0	0	0	
Belgium	0	0	0	0	0	0	60	0	20	0	0	0	0	
Brazil	0	0	0	0	0	0	0	63	0	15	0	0	0	
China	0	0	0	0	0	0	0	0	0	0	0	43	No Quantity	
Ghana	35	0	4	0	0	0	0	0	0	0	0	6	0	
Italy	0	0	0	0	6	1	0	0	0	0	0	0	0	
Japan	0	40	0	0	0	0	0	0	0	0	0	0	0	
Panama	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Sweden	0	0	2	4	0	0	0	0	0	0	0	0	0	
Switzerland	8,364	8,797	3,660	0	0	0	2,600	4,627	277	0	0	0	0	
Turkey	0	0	0	0	25	39	281	96	172	0	0	0	No Quantity	
Egypt	0	60	0	0	0	0	0	0	0	110	0	0	0	
United States of America	0	0	0	600	3	2	2	2	0	0	0	0	0	
