List of supplying markets for a product imported by Israel Product: 1514 Rape,colza or mustard oil & their fractions
"Exporters"	"2001-Imported quantity, Tons"	"2002-Imported quantity, Tons"	"2003-Imported quantity, Tons"	"2004-Imported quantity, Tons"	"2005-Imported quantity, Tons"	"2006-Imported quantity, Tons"	"2007-Imported quantity, Tons"	"2008-Imported quantity, Tons"	"2009-Imported quantity, Tons"	"2010-Imported quantity, Tons"	"2011-Imported quantity, Tons"	"2012-Imported quantity, Tons"	"2013-Imported quantity, "	
World	801	570	5,135	4,502	9,765	10,538	11,388	14,854	44,614	16,371	22,658	37,594	No Quantity	
Belgium	3	102	995	2,521	7,733	9,411	10,180	12,622	34,833	11,435	15,785	18,916	No Quantity	
Germany	17	61	183	128	84	264	168	686	1,729	497	2,505	14,337	No Quantity	
Turkey	525	0	0	0	0	0	0	64	968	1,482	1,693	183	No Quantity	
Netherlands	90	0	112	520	517	0	500	758	126	2,118	1,577	590	No Quantity	
Switzerland	0	3	0	0	0	0	0	0	4,047	0	500	0	0	
United States of America	0	1	17	710	1,131	844	484	548	695	389	399	504	No Quantity	
Canada	0	0	0	0	19	0	0	0	0	0	142	140	No Quantity	
France	42	0	3,657	617	21	0	38	3	17	3	37	380	No Quantity	
United Kingdom	0	0	8	0	0	0	3	19	11	5	17	179	No Quantity	
Italy	0	5	11	0	26	11	9	26	10	108	4	106	No Quantity	
British Virgin Islands	0	0	0	0	0	0	0	0	0	0	0	273	0	
Australia	0	0	0	0	0	0	0	0	30	0	0	0	0	
Belarus	0	0	0	0	0	0	0	0	0	0	0	1,496	No Quantity	
China	0	0	0	0	0	1	2	0	0	1	0	0	0	
Estonia	0	0	0	0	0	0	0	0	0	0	0	55	No Quantity	
Greece	54	0	0	0	0	0	0	0	0	0	0	0	0	
Panama	0	41	0	0	0	0	0	0	0	0	0	0	0	
Portugal	0	0	0	0	234	0	0	0	0	0	0	0	No Quantity	
Romania	0	0	0	0	0	0	0	0	2,142	326	0	0	No Quantity	
Russian Federation	0	0	9	6	0	0	5	0	0	0	0	0	No Quantity	
Spain	71	357	142	0	0	0	0	129	0	0	0	435	No Quantity	
Sweden	0	0	0	0	0	6	0	0	0	0	0	0	0	
Ukraine	0	0	0	0	0	0	0	0	7	6	0	0	No Quantity	
