List of supplying markets for a product imported by Israel Product: 1206 Sunflower seeds, whether or not broken
"Exporters"	"2001-Imported quantity, Tons"	"2002-Imported quantity, Tons"	"2003-Imported quantity, Tons"	"2004-Imported quantity, Tons"	"2005-Imported quantity, Tons"	"2006-Imported quantity, Tons"	"2007-Imported quantity, Tons"	"2008-Imported quantity, Tons"	"2009-Imported quantity, Tons"	"2010-Imported quantity, Tons"	"2011-Imported quantity, Tons"	"2012-Imported quantity, Tons"	"2013-Imported quantity, "	
World	4,674	18,107	18,924	20,995	8,540	5,034	11,520	6,478	2,484	3,388	3,779	3,772	No Quantity	
United States of America	1,224	752	5,494	3,538	3,532	1,674	3,502	2,176	2,063	2,793	2,753	2,665	No Quantity	
Ukraine	2,369	88	62	11,655	24	4	3,485	10	177	169	386	170	No Quantity	
Bulgaria	0	0	187	205	107	128	121	149	77	149	163	180	No Quantity	
Egypt	0	0	0	0	0	12	142	146	120	73	126	0	No Quantity	
Argentina	0	0	38	159	155	0	25	23	0	0	119	305	No Quantity	
Canada	0	0	0	20	94	19	0	0	0	54	91	0	0	
Netherlands	32	1,887	52	120	6	12	7	1,606	0	1	75	186	0	
China	0	0	0	505	483	94	120	93	12	48	30	38	No Quantity	
Denmark	0	0	0	0	0	0	0	0	0	0	18	0	0	
Chile	0	0	0	0	0	0	7	13	0	0	15	15	No Quantity	
Ethiopia	0	0	0	0	0	7	13	5	3	2	3	0	0	
Belgium	10	24	28	0	0	3	0	17	12	0	0	0	0	
Czech Republic	54	168	173	4	10	0	0	0	0	0	0	0	0	
France	0	5,095	0	0	1	0	0	0	0	0	0	0	0	
Georgia	0	12	0	0	0	0	0	0	0	0	0	0	0	
Germany	0	0	5,091	0	47	18	16	1	0	0	0	0	0	
Hungary	10	0	3	0	2,003	0	4,009	0	0	0	0	0	0	
Italy	0	0	7	3	0	0	0	0	4	0	0	9	No Quantity	
Japan	0	3	0	0	0	0	0	0	0	0	0	0	0	
Jordan	0	0	0	0	43	0	0	0	0	0	0	0	0	
Republic of Moldova	0	0	24	0	0	0	0	0	0	0	0	0	0	
Romania	0	0	2,718	0	0	0	0	0	0	0	0	0	0	
Russian Federation	977	24	28	2,235	7	3	34	41	16	0	0	0	0	
Spain	0	0	48	68	43	0	0	0	0	0	0	0	No Quantity	
Switzerland	0	5,166	0	0	0	1,527	0	2,199	0	0	0	0	0	
Turkey	0	0	0	0	50	0	0	0	0	0	0	168	0	
United Kingdom	0	4,887	4,973	2,484	1,936	1,531	40	0	0	100	0	36	0	
Uruguay	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
