List of supplying markets for a product imported by Israel Product: 1704 Sugar confectionery (incl white choc), not containing cocoa
"Exporters"	"2001-Imported quantity, Tons"	"2002-Imported quantity, Tons"	"2003-Imported quantity, Tons"	"2004-Imported quantity, Tons"	"2005-Imported quantity, Tons"	"2006-Imported quantity, Tons"	"2007-Imported quantity, Tons"	"2008-Imported quantity, Tons"	"2009-Imported quantity, Tons"	"2010-Imported quantity, Tons"	"2011-Imported quantity, Tons"	"2012-Imported quantity, Tons"	"2013-Imported quantity, "	
World	13,055	11,863	11,649	10,325	9,140	9,243	11,854	11,451	10,006	11,100	11,376	No Quantity	No Quantity	
Spain	3,269	4,025	4,400	3,039	2,076	2,326	2,506	2,622	3,250	2,825	3,197	No Quantity	No Quantity	
Switzerland	99	81	36	39	354	1,050	936	850	520	676	1,099	No Quantity	No Quantity	
Germany	820	694	504	421	572	598	662	518	401	478	839	653	No Quantity	
United States of America	669	334	319	663	516	303	570	833	620	538	630	No Quantity	No Quantity	
China	27	178	207	405	470	517	609	525	493	542	568	No Quantity	No Quantity	
United Kingdom	399	388	510	543	383	494	816	553	594	530	554	No Quantity	No Quantity	
Belgium	331	392	227	245	474	416	376	223	395	435	499	410	No Quantity	
Luxembourg	0	0	0	39	270	231	255	57	47	50	431	182	0	
Ukraine	174	104	309	455	252	296	531	652	561	687	426	492	No Quantity	
Turkey	561	230	372	401	471	476	933	1,053	600	579	370	No Quantity	No Quantity	
Greece	314	381	440	356	232	317	390	372	259	424	336	296	No Quantity	
Netherlands	703	592	510	454	704	131	106	107	98	102	274	312	No Quantity	
Italy	357	246	186	167	82	165	102	119	178	104	260	190	No Quantity	
Argentina	311	495	487	588	278	195	512	388	246	347	218	No Quantity	No Quantity	
Hong Kong, China	76	21	116	110	179	181	321	591	239	312	211	No Quantity	No Quantity	
Colombia	34	8	78	61	104	145	0	205	134	225	203	No Quantity	No Quantity	
Brazil	4	69	175	37	100	146	376	340	248	509	199	No Quantity	No Quantity	
Poland	116	122	223	217	386	193	219	209	94	128	170	172	No Quantity	
Canada	213	184	64	133	243	202	182	84	152	361	132	No Quantity	No Quantity	
France	2,939	1,648	1,522	596	179	102	124	103	80	118	93	No Quantity	No Quantity	
Thailand	145	138	107	137	114	51	258	331	199	252	83	146	No Quantity	
Mexico	21	50	35	74	0	12	37	117	130	123	82	174	No Quantity	
Belarus	0	0	13	57	19	30	87	54	59	75	69	60	No Quantity	
Russian Federation	321	390	228	171	123	104	147	63	62	77	63	56	No Quantity	
Guatemala	0	0	16	8	40	40	16	47	19	42	42	20	0	
South Africa	51	66	35	33	21	33	36	30	20	43	42	37	No Quantity	
Denmark	370	170	91	26	27	31	46	31	12	20	38	1	No Quantity	
Egypt	18	7	16	243	21	30	26	15	17	7	32	21	No Quantity	
Czech Republic	125	67	57	5	135	81	275	164	106	58	28	25	No Quantity	
Austria	9	22	13	10	27	36	64	28	22	8	22	68	No Quantity	
Ecuador	7	0	8	15	10	63	101	13	18	14	21	No Quantity	No Quantity	
Indonesia	0	0	5	0	42	69	20	7	0	1	19	9	No Quantity	
Ireland	35	88	34	30	22	70	39	9	0	0	19	0	0	
Portugal	305	504	156	141	22	13	28	39	0	57	16	0	No Quantity	
Latvia	23	42	46	41	39	36	45	43	28	22	13	14	No Quantity	
Lithuania	9	2	8	0	1	2	4	5	10	23	13	13	No Quantity	
Slovenia	0	0	0	0	0	0	0	0	0	2	13	20	0	
Pakistan	0	0	0	0	0	0	6	0	18	68	12	0	No Quantity	
Hungary	9	26	13	24	23	4	13	9	2	3	10	0	No Quantity	
Macedonia, The Former Yugoslav Republic of	20	15	10	8	5	0	5	0	9	10	10	No Quantity	No Quantity	
Romania	12	0	0	0	0	0	0	0	0	2	9	10	No Quantity	
Republic of Moldova	0	2	31	13	3	1	6	7	11	4	4	1	No Quantity	
Sweden	0	0	0	0	0	5	5	5	5	12	3	2	0	
Philippines	0	0	0	0	0	0	2	0	0	0	1	0	No Quantity	
Oceania Nes	0	6	0	0	0	0	0	0	0	0	0	0	0	
Uzbekistan	5	8	0	0	0	0	0	0	0	0	0	0	0	
Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	4	0	
Australia	0	0	0	0	0	0	0	1	0	0	0	0	No Quantity	
Bulgaria	0	0	0	0	0	0	26	0	0	0	0	0	0	
Sri Lanka	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Chile	18	36	0	113	69	0	0	0	0	0	0	0	0	
Costa Rica	0	0	0	0	0	0	0	0	9	12	0	0	No Quantity	
Ethiopia	0	0	0	0	0	0	0	0	2	0	0	0	0	
Finland	11	8	7	19	8	7	7	7	7	14	0	11	No Quantity	
Jordan	28	0	0	7	9	9	21	18	10	2	0	1	No Quantity	
Korea, Republic of	75	11	13	45	11	30	11	0	18	12	0	19	0	
Malaysia	0	0	0	0	0	0	0	6	0	0	0	0	0	
Taipei, Chinese	1	3	24	42	0	0	0	0	0	0	0	0	0	
Morocco	0	0	0	0	0	0	0	0	0	164	0	19	No Quantity	
Panama	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
India	0	0	0	0	0	1	0	0	3	0	0	1	No Quantity	
Singapore	15	7	0	89	24	3	0	0	0	0	0	0	0	
Slovakia	3	8	0	0	0	0	0	0	0	0	0	0	0	
Viet Nam	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
