List of supplying markets for a product imported by Israel Product: 0902 Tea
"Exporters"	"2001-Imported quantity, Tons"	"2002-Imported quantity, Tons"	"2003-Imported quantity, Tons"	"2004-Imported quantity, "	"2005-Imported quantity, Tons"	"2006-Imported quantity, Tons"	"2007-Imported quantity, Tons"	"2008-Imported quantity, Tons"	"2009-Imported quantity, Tons"	"2010-Imported quantity, Tons"	"2011-Imported quantity, Tons"	"2012-Imported quantity, "	"2013-Imported quantity, "	
World	2,194	2,299	1,918	0	1,253	1,142	1,103	1,554	1,453	1,789	1,854	No Quantity	No Quantity	
India	5	19	64	0	21	220	290	402	377	584	625	No Quantity	No Quantity	
United Kingdom	175	200	179	0	76	76	180	496	496	177	256	No Quantity	No Quantity	
Sri Lanka	1,199	617	663	0	294	477	302	312	221	319	247	No Quantity	No Quantity	
Germany	26	90	9	0	25	10	72	45	44	55	101	No Quantity	No Quantity	
Russian Federation	12	32	13	0	53	41	52	40	28	55	100	No Quantity	No Quantity	
Viet Nam	36	41	30	0	24	26	47	29	10	78	93	No Quantity	No Quantity	
China	54	82	93	0	61	36	38	48	43	67	87	No Quantity	No Quantity	
South Africa	258	185	154	0	16	28	12	0	49	124	87	No Quantity	No Quantity	
Zimbabwe	0	0	0	0	4	0	7	0	0	44	67	No Quantity	No Quantity	
Indonesia	113	321	254	0	224	135	41	85	28	141	61	No Quantity	No Quantity	
Turkey	0	1	0	0	0	1	0	43	65	22	27	No Quantity	No Quantity	
Belgium	0	234	163	0	264	55	2	5	0	2	25	0	0	
Netherlands	40	45	2	0	19	10	30	15	31	64	25	No Quantity	0	
Kenya	29	70	81	0	40	11	0	4	0	0	18	No Quantity	No Quantity	
Japan	3	3	3	0	5	3	6	4	5	5	9	No Quantity	No Quantity	
France	27	35	9	0	12	3	2	0	3	18	8	No Quantity	No Quantity	
Georgia	0	0	0	0	0	0	0	0	0	0	7	0	0	
Ukraine	0	0	0	0	0	0	3	0	0	0	4	0	No Quantity	
Argentina	6	0	0	0	0	0	0	0	0	0	2	0	0	
Hong Kong, China	17	6	12	0	1	3	1	9	9	16	2	No Quantity	No Quantity	
Nepal	0	0	0	0	0	0	0	0	0	0	1	0	0	
Poland	0	0	2	0	2	2	2	3	4	3	1	No Quantity	No Quantity	
United States of America	95	93	71	0	4	4	14	8	41	9	1	No Quantity	No Quantity	
Area Nes	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Austria	0	1	2	0	0	0	0	0	0	0	0	No Quantity	No Quantity	
Brazil	0	10	0	0	0	0	0	0	0	0	0	0	0	
Bulgaria	0	0	0	0	0	0	0	1	0	0	0	0	0	
Canada	11	6	8	0	0	0	0	0	0	0	0	0	0	
Colombia	8	0	0	0	0	0	0	3	0	0	0	0	0	
Cyprus	0	9	8	0	0	0	0	0	0	0	0	0	0	
Czech Republic	0	0	0	0	0	1	0	0	0	0	0	0	0	
Finland	0	0	0	0	0	0	0	0	0	0	0	No Quantity	No Quantity	
Italy	2	3	0	0	0	0	0	0	0	0	0	0	No Quantity	
Latvia	0	0	0	0	0	0	0	0	0	5	0	0	0	
Malawi	0	0	12	0	0	0	0	0	0	0	0	0	0	
Malaysia	0	0	0	0	0	0	0	0	0	0	0	No Quantity	0	
Mexico	10	0	0	0	0	0	0	0	0	0	0	0	0	
Taipei, Chinese	0	0	1	0	6	0	5	0	0	0	0	0	No Quantity	
Singapore	29	0	0	0	0	0	0	0	0	0	0	0	0	
Spain	0	0	0	0	0	0	0	0	0	0	0	0	0	
Switzerland	0	0	5	0	0	0	0	3	0	0	0	0	0	
Thailand	0	0	0	0	0	0	0	0	1	0	0	0	No Quantity	
Egypt	38	196	66	0	102	0	0	0	0	0	0	0	0	
Zambia	0	0	13	0	0	0	0	0	0	0	0	0	0	
