List of supplying markets for a product imported by Israel Product: 2402 Cigars, cheroots, cigarillos & cigarettes
"Exporters"	"2001-Imported quantity, Tons"	"2002-Imported quantity, Tons"	"2003-Imported quantity, Tons"	"2004-Imported quantity, Tons"	"2005-Imported quantity, Tons"	"2006-Imported quantity, Tons"	"2007-Imported quantity, Tons"	"2008-Imported quantity, Tons"	"2009-Imported quantity, Tons"	"2010-Imported quantity, Tons"	"2011-Imported quantity, Tons"	"2012-Imported quantity, "	"2013-Imported quantity, "	
World	4,869	5,091	5,311	6,029	6,231	6,199	8,086	9,261	9,112	9,736	12,142	No Quantity	No Quantity	
Switzerland	331	353	357	308	374	501	3,074	6,970	6,423	6,766	9,019	No Quantity	No Quantity	
Turkey	3	0	0	14	64	119	182	884	990	1,217	1,641	No Quantity	No Quantity	
Belgium	22	63	28	79	3,617	4,091	2,995	181	429	871	820	No Quantity	No Quantity	
Netherlands	7	6	4	23	17	79	122	117	70	86	255	No Quantity	No Quantity	
Romania	0	0	0	0	0	0	0	0	0	55	140	No Quantity	No Quantity	
Germany	56	54	35	26	71	56	116	38	30	69	126	No Quantity	No Quantity	
Poland	0	0	0	5	16	18	140	174	233	167	102	No Quantity	No Quantity	
Russian Federation	4	10	5	0	0	0	1	0	0	1	9	No Quantity	0	
Cyprus	5	5	3	3	5	20	25	25	21	12	7	No Quantity	No Quantity	
United States of America	4,012	4,006	4,228	5,162	1,550	1,009	1,196	533	538	375	7	No Quantity	No Quantity	
Dominican Republic	1	0	0	0	0	2	2	1	3	1	3	No Quantity	No Quantity	
Thailand	1	2	1	0	0	0	0	3	4	4	3	No Quantity	No Quantity	
Armenia	1	5	1	2	1	0	0	0	1	2	2	No Quantity	No Quantity	
Bulgaria	234	333	289	109	30	0	0	0	0	0	2	No Quantity	No Quantity	
Honduras	0	0	0	0	0	0	1	0	1	1	2	No Quantity	No Quantity	
Nicaragua	0	0	0	0	0	0	0	0	1	1	2	No Quantity	No Quantity	
Greece	82	142	235	99	106	74	41	28	26	8	1	No Quantity	0	
Spain	0	0	0	0	0	0	0	8	0	1	1	No Quantity	No Quantity	
Argentina	0	0	0	0	0	0	0	19	8	7	0	0	0	
Brazil	22	15	6	0	0	0	0	0	0	0	0	No Quantity	No Quantity	
Canada	0	1	1	0	0	0	1	9	9	7	0	No Quantity	No Quantity	
Sri Lanka	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Chile	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
China	0	0	0	0	43	2	0	0	0	0	0	0	No Quantity	
Costa Rica	0	0	0	0	0	0	0	0	0	0	0	No Quantity	0	
Cuba	0	0	1	1	1	0	0	1	0	0	0	0	No Quantity	
Czech Republic	0	0	0	0	0	0	0	0	0	0	0	No Quantity	0	
Denmark	0	0	0	8	109	123	141	161	156	29	0	No Quantity	No Quantity	
Dominica	0	0	0	0	0	0	0	0	0	0	0	No Quantity	No Quantity	
France	0	0	0	2	4	4	7	3	7	3	0	No Quantity	0	
Georgia	0	0	0	0	0	0	0	0	0	0	0	No Quantity	0	
Guatemala	0	0	0	0	0	0	0	0	0	0	0	0	0	
Hong Kong, China	0	0	0	0	0	0	0	0	0	0	0	No Quantity	No Quantity	
Indonesia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ireland	0	0	0	0	0	0	0	0	0	0	0	0	0	
Italy	0	0	0	0	0	0	0	0	0	0	0	No Quantity	No Quantity	
Japan	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Jordan	0	0	0	0	0	0	0	0	0	0	0	No Quantity	0	
Latvia	0	0	0	38	24	35	35	40	2	0	0	0	0	
Luxembourg	0	1	1	8	9	3	5	4	5	2	0	0	0	
Mexico	1	0	0	0	0	0	0	0	0	0	0	No Quantity	No Quantity	
Republic of Moldova	0	0	0	0	0	0	0	0	0	0	0	0	0	
Panama	0	0	0	0	0	0	1	0	0	0	0	0	0	
Paraguay	0	0	0	0	0	0	0	0	0	0	0	0	0	
Peru	0	0	0	0	0	0	0	0	0	0	0	0	0	
Philippines	0	0	0	0	0	0	0	0	0	0	0	No Quantity	No Quantity	
India	0	0	0	0	0	0	0	0	0	0	0	No Quantity	No Quantity	
Singapore	8	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
South Africa	0	0	4	19	8	0	0	0	0	0	0	0	0	
Sweden	0	0	1	0	0	0	0	0	0	0	0	No Quantity	0	
Ukraine	1	1	2	0	0	0	0	1	0	0	0	0	0	
Egypt	0	0	0	0	0	0	0	0	0	0	0	0	0	
United Kingdom	76	91	110	121	182	62	0	59	154	53	0	No Quantity	No Quantity	
Uruguay	0	0	0	0	0	0	0	0	0	0	0	0	0	
