List of supplying markets for a product imported by Israel Product: 1001 Wheat and meslin
"Exporters"	"2001-Imported quantity, Tons"	"2002-Imported quantity, Tons"	"2003-Imported quantity, Tons"	"2004-Imported quantity, Tons"	"2005-Imported quantity, Tons"	"2006-Imported quantity, Tons"	"2007-Imported quantity, Tons"	"2008-Imported quantity, Tons"	"2009-Imported quantity, Tons"	"2010-Imported quantity, Tons"	"2011-Imported quantity, Tons"	"2012-Imported quantity, Tons"	"2013-Imported quantity, "	
World	1,319,306	1,539,175	1,228,745	1,338,677	1,097,555	1,138,695	1,225,625	1,610,399	1,811,198	1,710,008	1,550,260	1,721,744	No Quantity	
Switzerland	117,872	217,708	172,940	261,742	344,493	423,110	396,518	363,402	724,214	683,725	570,987	800,299	0	
United States of America	627,361	608,336	434,768	671,812	363,187	309,554	157,479	406,083	330,858	243,148	452,733	210,493	No Quantity	
Netherlands	24,364	187,884	91,521	61,626	86,292	135,819	327,125	572,313	397,282	309,407	200,658	296,241	0	
France	89,172	43,003	59,460	63,550	85,308	87,753	44,400	19,936	17,457	84,326	72,388	235,527	No Quantity	
United Kingdom	128,590	170,924	183,956	67,075	87,418	33,037	40,685	5,487	73,842	117,929	37,915	52,971	0	
Russian Federation	40,949	139,855	92,657	149,558	45,555	8,684	58,145	7,897	0	33,514	37,781	8,769	No Quantity	
Ukraine	92,516	80,601	105,431	5,000	5,838	6,325	6,004	9,527	1,200	13,866	35,477	2,800	No Quantity	
Germany	108,390	36,930	43,567	35,116	16,663	52,986	106,629	92,092	97,141	88,171	31,833	3,719	No Quantity	
Cyprus	20,991	6,107	0	0	0	8,496	31,385	10,450	0	34,975	23,153	14,338	0	
British Virgin Islands	0	0	0	0	0	0	0	0	2,935	17,861	16,707	23,686	0	
Austria	4,403	0	3,000	6,189	11,464	0	22,742	15,378	12,108	0	15,759	0	0	
Denmark	0	4,652	0	0	0	0	0	0	7,939	0	15,426	0	0	
Singapore	0	0	0	0	0	0	0	0	9,657	0	14,351	44,183	0	
Australia	5,000	0	0	0	0	0	0	0	0	0	13,500	0	0	
Panama	0	0	0	0	0	0	0	0	4,604	0	6,920	0	0	
Belize	0	0	0	0	0	0	0	0	0	0	1,510	0	0	
Canada	116	0	0	0	0	0	93	1,090	1,688	140	1,412	1,477	No Quantity	
Turkey	29,788	2,422	0	0	4,672	167	26	591	11,750	1,532	927	813	No Quantity	
Italy	0	0	37	0	472	2,105	1,359	805	840	2,603	462	301	No Quantity	
India	0	0	0	0	0	0	0	0	0	0	200	0	No Quantity	
Argentina	0	272	561	316	13,274	462	613	199	94	110	119	0	0	
Hungary	8,303	18,669	24,641	13,712	17,150	41,873	32,422	74,489	95,957	55,451	41	3,041	No Quantity	
Gibraltar	0	0	5,499	0	0	0	0	0	0	0	0	0	0	
Liberia	0	0	0	0	0	0	0	0	6,000	0	0	0	0	
America not elsewhere specified	2,025	0	0	0	0	0	0	0	0	0	0	0	0	
Bahamas	0	0	5,701	0	0	0	0	0	0	0	0	0	0	
Belgium	0	3,150	2,000	0	0	0	0	44	7	0	0	3,062	0	
Brazil	0	0	0	0	0	0	0	0	0	0	0	0	No Quantity	
Bulgaria	0	2,595	0	2,971	13,143	14,598	0	4,665	0	23,184	0	0	No Quantity	
Ethiopia	0	0	6	10	5	5	0	0	0	0	0	0	0	
Greece	0	0	0	0	0	13,721	0	42	45	0	0	1,433	0	
Hong Kong, China	0	0	0	0	0	0	0	16,627	0	0	0	0	0	
Kazakhstan	0	7,129	3,000	0	2,622	0	0	0	0	0	0	0	No Quantity	
Jordan	13	0	0	0	0	0	0	0	0	0	0	0	0	
Malta	0	0	0	0	0	0	0	0	11,978	0	0	0	0	
Republic of Moldova	0	0	0	0	0	0	0	0	3,601	0	0	0	No Quantity	
Romania	19,200	8,939	0	0	0	0	0	9,211	0	25	0	50	No Quantity	
Slovakia	252	0	0	0	0	0	0	0	0	0	0	0	0	
Slovenia	0	0	0	0	0	0	0	0	0	40	0	0	0	
Spain	0	0	0	0	0	0	0	72	0	0	0	0	0	
United Arab Emirates	0	0	0	0	0	0	0	0	0	0	0	18,542	0	
